[1947, 2015, 2024, '150cm', 'amb', '#cfa07d', '662406624']
[1997, 2013, 2027, '182cm', 'gry', '#ceb3a1', '018128535']
[1980, 2011, 2026, '184cm', 'grn', '#a97842', '726519569']
[1980, 2012, 2027, '176cm', 'grn', '#6b5442', '619743219']
[1969, 2014, 2020, '164cm', 'brn', '#602927', '982796633']
[1957, 2010, 2020, '176cm', 'brn', '#efcc98', '322719183']
[1954, 2019, 2029, '178cm', 'blu', '#38f7fd', '838813262']
[1927, 2020, 2023, '192cm', 'amb', '#18171d', '242570886']
[1953, 2010, 2023, '181cm', 'hzl', '#866857', '568185567']
[1924, 2010, 2020, '156cm', 'amb', '#7d3b0c', '795497164']
[1921, 2011, 2024, '165cm', 'gry', '#18171d', '474303066']
[1949, 2020, 2029, '191cm', 'amb', '#6b5442', '075846582']
[1956, 2014, 2023, '191cm', 'gry', '#a97842', '645548969']
[1950, 2015, 2022, '159cm', 'amb', '#ceb3a1', '620857794']
[1937, 2020, 2021, '177cm', 'blu', '#22b774', '735047371']
[1933, 2019, 2020, '193cm', 'hzl', '#6b5442', '348486702']
[1928, 2012, 2028, '175cm', 'gry', '#fffffd', '571149069']
[1963, 2017, 2028, '175cm', 'grn', '#cfa07d', '160915270']
[1973, 2020, 2024, '171cm', 'gry', '#733820', '569740130']
[1937, 2016, 2027, '181cm', 'gry', '#b6652a', '521705827']
[2000, 2019, 2024, '156cm', 'blu', '#866857', '662418718']
[1971, 2016, 2023, '175cm', 'gry', '#efcc98', '693616099']
[1986, 2013, 2024, '188cm', 'gry', '#b6652a', '414295491']
[1975, 2020, 2022, '151cm', 'grn', '#a97842', '229803943']
[2001, 2012, 2021, '172cm', 'hzl', '#866857', '990590217']
[1933, 2018, 2028, '165cm', 'gry', '#602927', '658484617']
[1950, 2016, 2023, '188cm', 'oth', '#cfa07d', '056975690']
[1974, 2020, 2024, '191cm', 'gry', '#fffffd', '153555359']
[1931, 2020, 2022, '171cm', 'grn', '#b6652a', '552331609']
[1967, 2010, 2020, '177cm', 'blu', '#7d3b0c', '934058099']
[1981, 2019, 2020, '159cm', 'brn', '#a97842', '149148750']
[1968, 2015, 2021, '192cm', 'grn', '#888785', '777786047']
[1954, 2013, 2030, '173cm', 'blu', '#733820', '610226642']
[1999, 2015, 2023, '181cm', 'amb', '#a97842', '912145128']
[1965, 2013, 2027, '188cm', 'oth', '#341e13', '080715145']
[1929, 2016, 2028, '167cm', 'hzl', '#623a2f', '208417572']
[1938, 2014, 2023, '59in', 'grn', '#6b5442', '205268145']
[1920, 2015, 2026, '183cm', 'gry', '#b6652a', '047489285']
[1981, 2011, 2026, '186cm', 'amb', '#6b5442', '756830713']
[1986, 2013, 2025, '169cm', 'hzl', '#cfa07d', '679487194']
[1973, 2013, 2026, '167cm', 'grn', '#866857', '523515724']
[1966, 2016, 2020, '59in', 'brn', '#ceb3a1', '696621560']
[1925, 2012, 2021, '169cm', 'amb', '#6b5442', '969150085']
[1992, 2016, 2027, '175cm', 'brn', '#866857', '415209726']
[1940, 2017, 2025, '151cm', 'grn', '#6b5442', '115098205']
[1975, 2020, 2030, '179cm', 'gry', '#efcc98', '709548547']
[1992, 2013, 2029, '166cm', 'hzl', '#888785', '160053490']
[1928, 2010, 2027, '154cm', 'blu', '#a97842', '717041634']
[1937, 2013, 2028, '179cm', 'hzl', '#888785', '065528723']
